Date,Description,Debit,Credit,Balance
01/03/2026,Opening Balance,,,85000
03/03/2026,UPI/Meera Traders/Payment,28000,,57000
05/03/2026,NEFT/Sunrise Exports/Invoice 881,,42000,99000
08/03/2026,Office Rent March,25000,,74000
10/03/2026,City Power Co Electricity Bill,3800,,70200
12/03/2026,GST Payment Q3,16200,,54000
15/03/2026,UPI/Ravi Supplies/Invoice 1038,28000,,26000
18/03/2026,Local Retailer A Payment,,8500,34500
20/03/2026,Internet/Airtel Broadband,1200,,33300
22/03/2026,HDFC Bank EMI,12000,,21300
25/03/2026,UPI/Tech Solutions Pvt,5000,,16300
28/03/2026,Sundry Income,,6000,22300
31/03/2026,Closing Balance,,,22300
